"Notes"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"Jasper County, MS"	"28061"	954	65475	1457.0
	"Jefferson County, MS"	"28063"	368	28090	1310.1
	"Jefferson Davis County, MS"	"28065"	690	44142	1563.1
	"Jones County, MS"	"28067"	3510	272545	1287.9
	"Kemper County, MS"	"28069"	462	38811	1190.4
	"Lafayette County, MS"	"28071"	1740	217628	799.5
	"Lamar County, MS"	"28073"	1972	254120	776.0
	"Lauderdale County, MS"	"28075"	3984	296944	1341.7
	"Lawrence County, MS"	"28077"	733	50001	1466.0
	"Leake County, MS"	"28079"	1092	91031	1199.6
	"Lee County, MS"	"28081"	4063	341570	1189.5
	"Leflore County, MS"	"28083"	1723	112810	1527.3
	"Lincoln County, MS"	"28085"	1920	136230	1409.4
	"Lowndes County, MS"	"28087"	2839	234143	1212.5
	"Madison County, MS"	"28089"	4410	425644	1036.1
	"Marion County, MS"	"28091"	1474	98170	1501.5
	"Marshall County, MS"	"28093"	1929	141347	1364.7
	"Monroe County, MS"	"28095"	2019	141062	1431.3
	"Montgomery County, MS"	"28097"	691	39120	1766.4
	"Neshoba County, MS"	"28099"	1810	116235	1557.2
	"Newton County, MS"	"28101"	1144	84193	1358.8
	"Noxubee County, MS"	"28103"	558	41424	1347.0
	"Oktibbeha County, MS"	"28105"	1520	198764	764.7
	"Panola County, MS"	"28107"	1733	136066	1273.6
	"Pearl River County, MS"	"28109"	3169	222674	1423.2
	"Perry County, MS"	"28111"	677	47628	1421.4
	"Pike County, MS"	"28113"	2282	156845	1454.9
	"Pontotoc County, MS"	"28115"	1476	128929	1144.8
	"Prentiss County, MS"	"28117"	1402	100467	1395.5
	"Quitman County, MS"	"28119"	471	27363	1721.3
	"Rankin County, MS"	"28121"	5630	621123	906.4
	"Scott County, MS"	"28123"	1352	112533	1201.4
	"Sharkey County, MS"	"28125"	278	17018	1633.6
	"Simpson County, MS"	"28127"	1403	106674	1315.2
	"Smith County, MS"	"28129"	772	63476	1216.2
	"Stone County, MS"	"28131"	903	73773	1224.0
	"Sunflower County, MS"	"28133"	1474	100325	1469.2
	"Tallahatchie County, MS"	"28135"	690	55210	1249.8
	"Tate County, MS"	"28137"	1432	114158	1254.4
	"Tippah County, MS"	"28139"	1185	87506	1354.2
	"Tishomingo County, MS"	"28141"	1326	77387	1713.5
	"Tunica County, MS"	"28143"	531	38360	1384.3
	"Union County, MS"	"28145"	1360	115153	1181.0
	"Walthall County, MS"	"28147"	834	57339	1454.5
	"Warren County, MS"	"28149"	2277	181239	1256.4
