"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"Jan., 2019"	"2019/01"	100587	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"Feb., 2019"	"2019/02"	91605	Not Applicable	Not Applicable	0.7%
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"Mar., 2019"	"2019/03"	99911	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"Apr., 2019"	"2019/04"	93340	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"May, 2019"	"2019/05"	94016	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"Jun., 2019"	"2019/06"	89900	Not Applicable	Not Applicable	0.7%
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"Jul., 2019"	"2019/07"	91381	Not Applicable	Not Applicable	0.7%
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"Aug., 2019"	"2019/08"	90714	Not Applicable	Not Applicable	0.7%
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"Sep., 2019"	"2019/09"	88208	Not Applicable	Not Applicable	0.7%
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"Oct., 2019"	"2019/10"	93494	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"Nov., 2019"	"2019/11"	94802	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2019"	"2019"	"Dec., 2019"	"2019/12"	101574	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"Jan., 2020"	"2020/01"	104050	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"Feb., 2020"	"2020/02"	96412	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"Mar., 2020"	"2020/03"	103863	Not Applicable	Not Applicable	0.8%
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"Apr., 2020"	"2020/04"	106824	Not Applicable	Not Applicable	0.9%
	"Census Region 3: South"	"CENS-R3"	"2020"	"2020"	"May, 2020"	"2020/05"	106649	Not Applicable	Not Applicable	0.9%
